Review_ID,Customer_Name,Product_Category,Review_Text,Rating_1to5,Sentiment
REV-70000,User_465,Fashion,Terrible experience. The package arrived damaged and customer service was unresponsive and rude.,1,Negative
REV-70001,User_271,Home & Kitchen,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70002,User_782,Beauty,Fantastic customer service! Solved my issue within 5 minutes with total professionalism.,5,Positive
REV-70003,User_840,Beauty,Worst purchase ever. Complete waste of money and horrible return policy.,1,Negative
REV-70004,User_635,Beauty,Terrible experience. The package arrived damaged and customer service was unresponsive and rude.,1,Negative
REV-70005,User_728,Sports,Fantastic customer service! Solved my issue within 5 minutes with total professionalism.,5,Positive
REV-70006,User_878,Beauty,Extremely disappointed. Software crashes repeatedly and features are missing or broken.,1,Negative
REV-70007,User_461,Fashion,Loved the seamless interface and intuitive dashboard! Highly recommended to everyone.,5,Positive
REV-70008,User_629,Fashion,Worst purchase ever. Complete waste of money and horrible return policy.,1,Negative
REV-70009,User_332,Fashion,Terrible experience. The package arrived damaged and customer service was unresponsive and rude.,1,Negative
REV-70010,User_146,Beauty,Extremely disappointed. Software crashes repeatedly and features are missing or broken.,1,Negative
REV-70011,User_548,Beauty,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70012,User_297,Electronics,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70013,User_580,Beauty,Worst purchase ever. Complete waste of money and horrible return policy.,1,Negative
REV-70014,User_295,Home & Kitchen,Loved the seamless interface and intuitive dashboard! Highly recommended to everyone.,5,Positive
REV-70015,User_341,Sports,Fantastic customer service! Solved my issue within 5 minutes with total professionalism.,5,Positive
REV-70016,User_370,Electronics,Extremely disappointed. Software crashes repeatedly and features are missing or broken.,1,Negative
REV-70017,User_416,Electronics,"Decent overall. Works as advertised, nothing extraordinary but gets the job done fine.",3,Neutral
REV-70018,User_592,Home & Kitchen,Worst purchase ever. Complete waste of money and horrible return policy.,1,Negative
REV-70019,User_935,Sports,Good value for money. Easy setup and responsive customer assistance.,5,Positive
REV-70020,User_665,Electronics,"Decent overall. Works as advertised, nothing extraordinary but gets the job done fine.",3,Neutral
REV-70021,User_568,Fashion,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70022,User_728,Sports,Loved the seamless interface and intuitive dashboard! Highly recommended to everyone.,5,Positive
REV-70023,User_439,Fashion,"Average product. Price is a bit high for what it offers, but build quality is okay.",3,Neutral
REV-70024,User_173,Fashion,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70025,User_732,Sports,Worst purchase ever. Complete waste of money and horrible return policy.,1,Negative
REV-70026,User_950,Home & Kitchen,"Average product. Price is a bit high for what it offers, but build quality is okay.",3,Neutral
REV-70027,User_419,Beauty,Worst purchase ever. Complete waste of money and horrible return policy.,1,Negative
REV-70028,User_991,Electronics,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70029,User_393,Beauty,"Average product. Price is a bit high for what it offers, but build quality is okay.",3,Neutral
REV-70030,User_799,Sports,Worst purchase ever. Complete waste of money and horrible return policy.,1,Negative
REV-70031,User_144,Electronics,"Decent overall. Works as advertised, nothing extraordinary but gets the job done fine.",3,Neutral
REV-70032,User_906,Sports,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70033,User_675,Beauty,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70034,User_296,Home & Kitchen,Terrible experience. The package arrived damaged and customer service was unresponsive and rude.,1,Negative
REV-70035,User_223,Beauty,Loved the seamless interface and intuitive dashboard! Highly recommended to everyone.,5,Positive
REV-70036,User_651,Beauty,Terrible experience. The package arrived damaged and customer service was unresponsive and rude.,1,Negative
REV-70037,User_136,Electronics,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70038,User_642,Fashion,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70039,User_205,Home & Kitchen,Loved the seamless interface and intuitive dashboard! Highly recommended to everyone.,5,Positive
REV-70040,User_451,Fashion,Worst purchase ever. Complete waste of money and horrible return policy.,1,Negative
REV-70041,User_669,Electronics,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70042,User_925,Home & Kitchen,Fantastic customer service! Solved my issue within 5 minutes with total professionalism.,5,Positive
REV-70043,User_138,Sports,Good value for money. Easy setup and responsive customer assistance.,5,Positive
REV-70044,User_517,Fashion,Good value for money. Easy setup and responsive customer assistance.,5,Positive
REV-70045,User_775,Home & Kitchen,Terrible experience. The package arrived damaged and customer service was unresponsive and rude.,1,Negative
REV-70046,User_715,Beauty,"Decent overall. Works as advertised, nothing extraordinary but gets the job done fine.",3,Neutral
REV-70047,User_989,Sports,Extremely disappointed. Software crashes repeatedly and features are missing or broken.,1,Negative
REV-70048,User_930,Electronics,Extremely disappointed. Software crashes repeatedly and features are missing or broken.,1,Negative
REV-70049,User_369,Beauty,Extremely disappointed. Software crashes repeatedly and features are missing or broken.,1,Negative
REV-70050,User_498,Sports,The product quality is absolutely outstanding! Extremely satisfied with fast delivery and great support.,5,Positive
REV-70051,User_840,Home & Kitchen,Worst purchase ever. Complete waste of money and horrible return policy.,1,Negative
REV-70052,User_693,Fashion,Loved the seamless interface and intuitive dashboard! Highly recommended to everyone.,5,Positive
REV-70053,User_272,Electronics,Good value for money. Easy setup and responsive customer assistance.,5,Positive
REV-70054,User_302,Sports,"Average product. Price is a bit high for what it offers, but build quality is okay.",3,Neutral
REV-70055,User_592,Beauty,Good value for money. Easy setup and responsive customer assistance.,5,Positive
REV-70056,User_452,Fashion,Good value for money. Easy setup and responsive customer assistance.,5,Positive
REV-70057,User_720,Fashion,Loved the seamless interface and intuitive dashboard! Highly recommended to everyone.,5,Positive
REV-70058,User_435,Beauty,"Decent overall. Works as advertised, nothing extraordinary but gets the job done fine.",3,Neutral
REV-70059,User_816,Home & Kitchen,Terrible experience. The package arrived damaged and customer service was unresponsive and rude.,1,Negative
REV-70060,User_722,Home & Kitchen,Terrible experience. The package arrived damaged and customer service was unresponsive and rude.,1,Negative
REV-70061,User_577,Sports,Fantastic customer service! Solved my issue within 5 minutes with total professionalism.,5,Positive
REV-70062,User_340,Electronics,Good value for money. Easy setup and responsive customer assistance.,5,Positive
